bite_Year,bite_Month,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,ResultsIDDesc
2010,1,DOG,,MALE,TRI,,,40204,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,MALE,BLK,1,2009-10,40219,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,CAT,,UNKNOWN,BLK-WHT,,,40208,NO,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,UNKNOWN,TAN,,,40206,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,MALE,YELLOW,1,2010-1,40299,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLACK/BROW,1,2010-2,40272,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,CAT,,FEMALE,BLK-WHT,1,2010-2,40222,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,TRI,3,2009-5,40219,NO,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,MALE,BLUE,1,2010-1,40205,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,CAT,,MALE,BROWN,1,2009-12,40206,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK,3,2009-5,40207,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK,1,2009-12,40223,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,BRN,1,2009-7,40223,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,CAT,,MALE,BLK-WHT,,,40258,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,UNKNOWN,YELLOW,,,40208,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,MALE,RED,3,2008-2,40245,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,CAT,,FEMALE,GRAY-TORTI,,,40208,NO,HEAD,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,FEMALE,FAWN-WHT,1,2010-2,42784,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,BRN-WHT,,,40165,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BROWN-BLK,,,40206,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLACK,1,2010-3,40299,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,CAT,,UNKNOWN,,,,40220,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,UNKNOWN,,,,40291,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,UNKNOWN,YELLOW,1,2009-9,40272,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,BRN-BLACK,1,2010-7,40229,NO,BODY,2011-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,FEMALE,TAN,1,2009-10,40218,NO,HEAD,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,BLK-TAN,1,2009-7,40204,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK-WHT,,,40210,NO,HEAD,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,TAN,1,2009-3,40291,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,UNKNOWN,,,,40118,NO,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,1,CAT,,FEMALE,BLK,1,2010-2,46011,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,RED-WHT,1,2009-3,40218,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK-TAN,,,40229,NO,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,CAT,,MALE,TAN-BRN,1,2010-2,40299,NO,HEAD,2010-2,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,B.MERLE-GR,,,40212,YES,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,1,DOG,,MALE,BLK-WHT,1,2009-2,40220,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,BROWN,1,2009-8,40215,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,MALE,GRAY-WHT,,,40291,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,TAN-WHT,,,40211,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,BLONDE,1,2010-1,40059,NO,HEAD,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,UNKNOWN,GRAY-WHITE,,,40203,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,BROWN-BLK,1,2009-5,40205,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40229,NO,BODY,,UNKNOWN,2010/2/5 0:00,,UNKNOWN
2010,2,DOG,,UNKNOWN,BRN-WHT,,2007-6,40228,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,WHT,,,40217,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,BROWN,,,40229,NO,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40220,YES,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,BLK-BRN,,,40272,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,FEMALE,WHT-BRN,3,2009-8,40215,NO,HEAD,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,TRI,3,2009-2,40228,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,UNKNOWN,BLK-WHT,,,40203,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,CAT,,UNKNOWN,GREY,1,2009-8,40218,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40218,YES,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,GRAY,1,2010-1,40214,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,FEMALE,BLK,1,2010-1,40204,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,BLK-WHT,1,2009-8,40014,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,FEMALE,BLK-WHT,1,2009-6,40207,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,FEMALE,SILVER,1,2010-3,40217,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40229,YES,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40206,YES,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,BRN-WHT,1,2010-3,40218,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,UNKNOWN,GREY,,,40208,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,BLK,1,2010-2,40229,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,UNKNOWN,GREY,1,2010-2,40242,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,BRN,1,2009-10,40207,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,BLK,,,40216,NO,HEAD,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,BRN,,,40272,NO,BODY,,UNKNOWN,2010/2/18 0:00,,UNKNOWN
2010,2,CAT,,FEMALE,BLK,,,40217,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,FEMALE,GRAY,1,2009-5,40245,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40217,YES,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,CAT,,MALE,ORANGE,1,2010-3,40229,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,TRI,1,2009-9,40299,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,BLACK-TAN,1,2009-7,40241,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,WHT,1,2009-11,40291,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,FEMALE,WHT-BLK,1,2009-8,40241,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,BRINDLE-WH,,2010-1,40210,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,UNKNOWN,RED-WHT,1,2009-7,40206,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,FEMALE,WHT-BLK,,,40219,NO,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,FEMALE,WHT-TAN,3,2009-12,,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,FEMALE,BLK-TAN,3,2008-12,47150,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,CAT,,UNKNOWN,BRN-WHT,,,40299,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40272,YES,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,FEMALE,BRN-WHT,3,2009-8,40214,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,TAN-WHT,,2009-10,40216,NO,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40216,NO,HEAD,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40220,YES,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,2,CAT,,MALE,LT. BR,1,2009-5,40047,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,FEMALE,BLK,1,2010-2,40241,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,2,DOG,,FEMALE,TRI,1,2010-3,40258,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,BRN,,,40216,NO,HEAD,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,MALE,WHT-BLK,,,40059,NO,HEAD,,UNKNOWN,2010/2/27 0:00,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40059,NO,HEAD,,UNKNOWN,2010/2/27 0:00,,UNKNOWN
2010,2,DOG,,FEMALE,BLACK,1,2010-3,40059,NO,BODY,2010-2,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,RED,1,2010-3,40206,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,BLK-BRN,,,40118,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,2,DOG,,MALE,BLK-WHT,1,2009-6,40222,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,2,CAT,,UNKNOWN,GRAY,,,40215,NO,BODY,2010-2,UNKNOWN,,,UNKNOWN
2010,2,DOG,,UNKNOWN,BLONDE,,,40210,YES,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,2,CAT,,FEMALE,GRAY,1,2009-3,40222,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,2,DOG,,UNKNOWN,,,,40272,NO,HEAD,2010-3,UNKNOWN,,,UNKNOWN
2010,2,CAT,,UNKNOWN,,,,40211,YES,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,BAT,,UNKNOWN,,,,40219,NO,BODY,,UNKNOWN,2010/3/2 0:00,,UNKNOWN
2010,3,DOG,,UNKNOWN,,,,,NO,BODY,,UNKNOWN,,,UNKNOWN
2010,3,DOG,,FEMALE,BLK-WHT,3,2008-12,40241,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,CAT,,UNKNOWN,,,,40203,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,CAT,,MALE,GRAY-WHT,,,40118,NO,HEAD,2010-3,UNKNOWN,,,UNKNOWN
2010,3,CAT,,UNKNOWN,ORANGE,,2009-7,40223,NO,BODY,2010-3,UNKNOWN,2010/3/6 0:00,,UNKNOWN
2010,3,DOG,,FEMALE,BR. BRINDL,,,40215,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,MALE,WHT,1,,40204,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,TAN,,,40272,NO,HEAD,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,BRN,1,2010-3,40220,NO,HEAD,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,BRN-WHT,,,40203,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,UNKNOWN,BRN,,2010-3,40210,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,UNKNOWN,BLK-TAN,1,2010-1,40299,YES,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,FEMALE,YELLOW,,,40118,NO,HEAD,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,UNKNOWN,,,,,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,FEMALE,BLK,,,40216,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,BLK-BRN,1,2009-8,40243,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,BLK-WHT,,,40206,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,BRN-WHT,,,40216,NO,BODY,2010-3,UNKNOWN,2010/3/9 0:00,,UNKNOWN
2010,3,DOG,,MALE,CREAM,1,2010-3,40241,NO,HEAD,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,BLK-WHT,1,2009-8,40208,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,WHT,,,40258,YES,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,MALE,BLK,,,40222,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,FEMALE,TAN,,,40211,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,UNKNOWN,,,,40203,YES,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,UNKNOWN,BLACK,3,2009-5,40291,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,,,,40216,NO,HEAD,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,MALE,TRI,1,2009-11,40006,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,FEMALE,BLACK,1,2010-3,40223,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,TAN-WHT,,,40211,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,FEMALE,TAN,,,40272,NO,BODY,,UNKNOWN,2010/3/12 0:00,,UNKNOWN
2010,3,DOG,,UNKNOWN,,,,40212,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,CAT,,FEMALE,TRI,1,2010-3,40219,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,CAT,,FEMALE,BLK-WHT,1,2010-3,40245,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,FEMALE,CREAM-WHT,1,2010-3,40222,NO,HEAD,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,FEMALE,WHITE,1,2010-3,40216,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,,,,40242,NO,HEAD,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,TRI,1,2009-7,40219,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,CAT,,UNKNOWN,,,,40299,YES,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,FEMALE,TRI,1,2009-6,40291,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,WHT,1,2009-4,40216,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,BRN-WHT,1,2009-9,40241,NO,HEAD,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,FEMALE,BRINDLE,1,2009-11,40214,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,BLACK,1,2010-4,40299,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,,,,40211,YES,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,MALE,WHITE,1,2009-9,40272,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,GOLDEN,1,2009-12,40272,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,BLK-WHT,,2009-11,40272,NO,HEAD,,UNKNOWN,2010/3/18 0:00,,UNKNOWN
2010,3,DOG,,MALE,BLACK,1,2010-2,40258,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,TAN-WHT,1,2009-8,40203,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,UNKNOWN,BLACK-WHT,,,40219,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,CAT,,FEMALE,GRAY,1,2009-7,40213,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,CAT,,UNKNOWN,BUFF,,,40213,NO,HEAD,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,FEMALE,BROWN-TAN,1,2009-4,40218,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,BLK-TAN,,2009-3,40203,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,CAT,,UNKNOWN,,,,40207,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,FEMALE,TRI,,,40291,NO,BODY,2010-3,UNKNOWN,,,UNKNOWN
2010,3,DOG,,MALE,BLK,1,2009-9,40243,NO,BODY,2010-3,RELEASED,,,UNKNOWN
2010,3,DOG,,MALE,WHT-BLK,1,2009-7,87604,NO,BODY,2010-3,RELEASED,,,UNKNOWN
